CLUES,UNIDAD,REGION,MUNICIPIO,NIVEL
HGIMB002000,COLONIA PALMILLAS,ACTOPAN,MIXQUIAHUALA DE JUÁREZ,1
HGIMB002012,COLONIA TEÑHE,ACTOPAN,MIXQUIAHUALA DE JUÁREZ,1
HGIMB002024,COLONIA VERACRUZ,ACTOPAN,MIXQUIAHUALA DE JUÁREZ,1
HGIMB002036,HOSPITAL INTEGRAL CINTA LARGA,ACTOPAN,MIXQUIAHUALA DE JUÁREZ,2
HGIMB004520,CENTRO DE SALUD DE MIXQUIAHUALA,ACTOPAN,MIXQUIAHUALA DE JUÁREZ,1
HGIMB002514,SAN AGUSTÍN TLAXIACA,ACTOPAN,SAN AGUSTÍN TLAXIACA,1
HGIMB002526,IXCUINQUITLAPILCO,ACTOPAN,SAN AGUSTÍN TLAXIACA,1
HGIMB002531,PUERTO MÉXICO,ACTOPAN,SAN AGUSTÍN TLAXIACA,1
HGIMB002543,SAN JUAN SOLIS,ACTOPAN,SAN AGUSTÍN TLAXIACA,1
HGIMB002555,SAN JUAN TILCUAUTLA,ACTOPAN,SAN AGUSTÍN TLAXIACA,1
HGIMB002560,SAN MIGUEL TORNACUXTLA,ACTOPAN,SAN AGUSTÍN TLAXIACA,1
HGIMB002625,CAÑADA GRANDE,ACTOPAN,SAN SALVADOR,1
HGIMB002630,DEXTHO DE VICTORIA,ACTOPAN,SAN SALVADOR,1
HGIMB002642,PACHECO DE ALLENDE,ACTOPAN,SAN SALVADOR,1
HGIMB002654,SAN ANTONIO ZARAGOZA,ACTOPAN,SAN SALVADOR,1
HGIMB002666,SAN MIGUEL ACAMBAY,ACTOPAN,SAN SALVADOR,1
HGIMB002671,SANTA MARÍA AMAJAC,ACTOPAN,SAN SALVADOR,1
HGIMB002683,TEOFANI,ACTOPAN,SAN SALVADOR,1
HGIMB002695,CAXUXI,ACTOPAN,SAN SALVADOR,1
HGIMB002700,EL PUERTO LÁZARO CÁRDENAS,ACTOPAN,SAN SALVADOR,1
HGIMB004305,POXINDEJE DE MORELOS,ACTOPAN,SAN SALVADOR,1
HGIMB004614,CENTRO DE SALUD XUCHITLAN,ACTOPAN,SAN SALVADOR,1
HGIMB000332,EL TEPOZAN,APAN,ALMOLOYA,1
HGIMB005010,CENTRO DE SALUD ALMOLOYA,APAN,ALMOLOYA,1
HGIMB000344,CHIMALPA TLALAYOTE,APAN,APAN,1
HGIMB000356,SAN JOSÉ JIQUILPAN,APAN,APAN,1
HGIMB000361,ZOTOLUCA VELOZ,APAN,APAN,1
HGIMB004766,CENTRO DE SALUD APAN,APAN,APAN,1
HGIMB004800,HOSPITAL GENERAL DE APAN,APAN,APAN,2
HGIMB004865,LA LAGUNA,APAN,APAN,1
HGIMB001032,EMILIANO ZAPATA,APAN,EMILIANO ZAPATA,1
HGIMB001044,SANTA BÁRBARA,APAN,EMILIANO ZAPATA,1
HGIMB001056,SANTA CLARA PROGRESO,APAN,EMILIANO ZAPATA,1
HGIMB001061,JOSÉ MARÍA MORELOS SAN JOSÉ,APAN,EMILIANO ZAPATA,1
HGIMB001073,EPAZOYUCAN,APAN,EPAZOYUCAN,1
HGIMB001085,SAN JUAN TIZAHUAPAN,APAN,EPAZOYUCAN,1
HGIMB001090,SANTA MONICA,APAN,EPAZOYUCAN,1
HGIMB002490,PACHUQUILLA,APAN,MINERAL DE LA REFORMA,1
HGIMB002502,LA PROVIDENCIA,APAN,MINERAL DE LA REFORMA,1
HGIMB004276,DOS CARLOS PUEBLO NUEVO,APAN,MINERAL DE LA REFORMA,1
HGIMB004281,COL. ÁVILA CAMACHO,APAN,MINERAL DE LA REFORMA,1
HGIMB004293,EL SAUCILLO,APAN,MINERAL DE LA REFORMA,1
HGIMB004585,CENTRO DE SALUD SANTA MARÍA LA CALERA,APAN,MINERAL DE LA REFORMA,1
HGIMB004993,AZOYATLA,APAN,MINERAL DE LA REFORMA,1
HGIMB002811,SINGUILUCAN,APAN,SINGUILUCAN,1
HGIMB002823,MATIAS RODRÍGUEZ,APAN,SINGUILUCAN,1
HGIMB002835,PLUTARCO ELIAS CALLES,APAN,SINGUILUCAN,1
HGIMB002992,LOS CIDES,APAN,TEPEAPULCO,1
HGIMB003004,IROLO,APAN,TEPEAPULCO,1
HGIMB003016,SAN MIGUEL ALLENDE,APAN,TEPEAPULCO,1
HGIMB003021,TULTENGO,APAN,TEPEAPULCO,1
HGIMB004754,CENTRO DE SALUD TEPEAPULCO,APAN,TEPEAPULCO,1
HGIMB003523,TLANALAPA,APAN,TLANALAPA,1
HGIMB003535,CHICONCUAC,APAN,TLANALAPA,1
HGIMB000431,HOSPITAL INTEGRAL ATLAPEXCO,HUASTECA,ATLAPEXCO,2
HGIMB000443,ATLAPEXCO,HUASTECA,ATLAPEXCO,1
HGIMB000455,COCHISCOATITLA,HUASTECA,ATLAPEXCO,1
HGIMB000460,HUITZOTLACO,HUASTECA,ATLAPEXCO,1
HGIMB000472,PAHACTLA,HUASTECA,ATLAPEXCO,1
HGIMB000484,TECACAHUACO,HUASTECA,ATLAPEXCO,1
HGIMB000496,TENEXCO I,HUASTECA,ATLAPEXCO,1
HGIMB004211,ITZOACAL,HUASTECA,ATLAPEXCO,1
HGIMB004713,CENTRO DE SALUD RURAL-1 ATOTOMOC,HUASTECA,ATLAPEXCO,1
HGIMB000566,CALNALI,HUASTECA,CALNALI,1
HGIMB000571,COYULA,HUASTECA,CALNALI,1
HGIMB000583,PAPATLATLA,HUASTECA,CALNALI,1
HGIMB000595,PEZMATLAN,HUASTECA,CALNALI,1
HGIMB000600,SANTA LUCIA MESA DE SANTA LUCIA,HUASTECA,CALNALI,1
HGIMB001160,HUAUTLA,HUASTECA,HUAUTLA,1
HGIMB001172,ACATEPEC,HUASTECA,HUAUTLA,1
HGIMB001184,COATZONCO,HUASTECA,HUAUTLA,1
HGIMB001196,CHALINGO,HUASTECA,HUAUTLA,1
HGIMB001201,TAMOYON I,HUASTECA,HUAUTLA,1
HGIMB001213,TECOLUCO CALPAN,HUASTECA,HUAUTLA,1
HGIMB001225,CENTRO DE SALUD TZACUALA,HUASTECA,HUAUTLA,1
HGIMB001230,ZACATIPA,HUASTECA,HUAUTLA,1
HGIMB005466,CARAVANA 1 HUAHUTLA,HUASTECA,HUAUTLA,3
HGIMB001242,HUAZALINGO,HUASTECA,HUAZALINGO,1
HGIMB001254,SAN FRANCISCO,HUASTECA,HUAZALINGO,1
HGIMB004730,CENTRO DE SALUD RURAL 01 IXTLAHUAC,HUASTECA,HUAZALINGO,1
HGIMB005285,CARAVANA 1 HUAZALINGO,HUASTECA,HUAZALINGO,3
HGIMB005495,CARAVANA 4 HUAZALINGO,HUASTECA,HUAZALINGO,3
HGIMB001300,CUAPAXTITLA,HUASTECA,HUEJUTLA DE REYES,1
HGIMB001312,IXCATEPEC,HUASTECA,HUEJUTLA DE REYES,1
HGIMB001324,IXTLÁHUAC,HUASTECA,HUEJUTLA DE REYES,1
HGIMB001336,LOS OTATES,HUASTECA,HUEJUTLA DE REYES,1
HGIMB001341,PAHUATLAN,HUASTECA,HUEJUTLA DE REYES,1
HGIMB001353,SANTA CATARINA,HUASTECA,HUEJUTLA DE REYES,1
HGIMB001365,TEACAL,HUASTECA,HUEJUTLA DE REYES,1
HGIMB001370,TEHUETLAN,HUASTECA,HUEJUTLA DE REYES,1
HGIMB001382,LAS CHACAS,HUASTECA,HUEJUTLA DE REYES,1
HGIMB004252,RANCHO VIEJO,HUASTECA,HUEJUTLA DE REYES,1
HGIMB004556,CENTRO DE SALUD HUEJUTLA,HUASTECA,HUEJUTLA DE REYES,1
HGIMB004725,CENTRO DE SALUD URBANO 2 PARQUE DE POBLAMIENTO,HUASTECA,HUEJUTLA DE REYES,1
HGIMB004812,HOSPITAL GENERAL DE LA HUASTECA,HUASTECA,HUEJUTLA DE REYES,2
HGIMB005092,CARAVANA HUEJUTLA,HUASTECA,HUEJUTLA DE REYES,3
HGIMB005104,CARAVANAS DE LA SALUD,HUASTECA,HUEJUTLA DE REYES,3
HGIMB005116,CARAVANA TEHUETLAN 1,HUASTECA,HUEJUTLA DE REYES,3
HGIMB005121,CARAVANA IXTLAHUAC,HUASTECA,HUEJUTLA DE REYES,3
HGIMB005133,CARAVANA LAS CHACAS,HUASTECA,HUEJUTLA DE REYES,3
HGIMB001732,JALTOCAN,HUASTECA,JALTOCÁN,1
HGIMB005384,CARAVANA 2 JALTOCAN,HUASTECA,JALTOCÁN,3
